Time,IMU1_xt,IMU1_yt,IMU1_zt,IMU1_xr,IMU1_yr,IMU1_zr,IMU2_xt,IMU2_yt,IMU2_zt,IMU2_xr,IMU2_yr,IMU2_zr,EMG1,EMG2,EMG3,EMG4,Patient_1,22,1,Student,0,0,0,0,0,1,Running,2
0.914,0.00,-0.03,0.59,-0.08,-0.06,-0.11,-0.04,0.09,0.32,-0.09,0.09,-0.09,0,83,229,19
0.926,0.00,0.23,0.72,-0.04,-0.13,-0.13,0.10,0.12,0.74,-0.11,0.08,-0.07,0,82,229,19
0.939,0.08,0.30,1.13,0.01,-0.18,-0.12,0.04,0.30,0.75,-0.21,0.05,-0.03,0,86,202,19
0.951,0.25,-0.33,0.57,-0.02,-0.28,-0.14,0.11,-0.17,0.45,-0.33,0.10,-0.01,0,89,184,18
0.961,0.77,-0.56,-0.16,-0.04,-0.36,-0.17,0.24,-0.41,0.76,-0.61,0.10,-0.04,0,88,223,18
0.972,1.00,-0.69,0.06,0.07,-0.30,-0.18,0.14,-0.35,0.32,-0.52,-0.06,-0.04,0,88,206,19
0.986,0.60,-0.47,0.15,0.37,0.00,-0.20,0.00,-0.48,0.24,-0.23,0.00,-0.05,0,87,199,18
0.996,0.37,-0.18,-0.23,0.39,0.14,-0.21,-0.37,-0.50,0.36,-0.11,0.05,-0.10,0,85,187,16
1.006,0.10,0.22,-0.11,0.42,0.27,-0.23,-0.43,-0.70,0.36,0.06,0.04,-0.13,0,83,169,19
1.017,-0.15,0.66,-0.02,0.36,0.35,-0.22,-0.32,-0.01,0.40,0.14,-0.10,-0.08,0,80,182,19
1.029,-0.16,0.85,-0.08,0.27,0.39,-0.17,-0.15,0.23,0.01,0.30,-0.11,-0.03,0,79,174,20
1.042,-0.20,0.66,-0.31,0.19,0.40,-0.10,-0.27,-0.07,-0.60,0.21,-0.21,-0.09,0,76,171,22
1.053,-0.29,0.67,-0.29,-0.02,0.35,0.01,0.19,0.13,-0.45,0.24,-0.16,-0.05,0,72,155,23
1.066,-0.34,0.28,-0.34,-0.12,0.32,0.05,-0.38,-0.05,-0.33,0.15,-0.16,0.02,0,70,160,26
1.078,-0.25,-0.20,-0.15,-0.17,0.31,0.07,-0.27,-0.09,-0.24,0.14,-0.12,0.01,0,67,147,26
1.090,-0.20,-0.20,-0.10,-0.18,0.31,0.05,-0.13,0.26,0.22,0.10,-0.08,-0.03,0,63,135,26
1.102,0.04,-0.15,0.11,-0.16,0.34,0.03,-0.07,0.53,0.32,-0.01,-0.02,-0.05,0,60,129,26
1.116,0.04,0.09,0.35,-0.06,0.50,-0.07,-0.05,0.96,0.43,-0.25,0.14,-0.03,0,57,127,23
1.128,-0.11,0.75,0.53,-0.06,0.58,-0.09,0.18,0.69,0.42,-0.52,0.17,-0.05,0,53,130,24
1.140,-0.11,0.74,0.28,-0.12,0.61,-0.08,0.31,0.27,-0.14,-0.11,-0.05,0.00,0,51,119,23
1.153,-0.07,0.62,0.04,-0.21,0.60,-0.05,0.46,0.81,-0.32,-0.23,0.02,0.02,0,50,132,22
1.164,-0.12,0.43,-0.23,-0.27,0.59,-0.04,-0.40,-0.26,-0.42,-0.30,-0.02,0.04,0,50,124,20
1.177,-0.30,0.11,-0.48,-0.36,0.52,-0.02,0.31,0.15,-0.67,-0.23,0.02,0.04,0,47,108,20
1.189,-0.01,-0.09,-0.51,-0.38,0.47,0.00,0.07,0.05,-0.58,-0.30,0.04,0.02,0,44,94,19
1.202,-0.15,-0.13,-0.42,-0.38,0.45,-0.00,-0.06,-0.36,-0.58,-0.31,0.07,0.02,0,44,95,20
1.213,-0.03,-0.39,-0.21,-0.36,0.43,-0.01,0.02,-0.43,-0.59,-0.34,0.09,0.02,0,43,86,19
1.224,0.00,-0.50,-0.25,-0.33,0.39,-0.02,-0.05,-0.47,-0.74,-0.32,0.09,0.01,0,42,79,19
1.237,-0.23,-0.62,-0.56,-0.21,0.32,-0.03,-0.06,-0.63,-0.93,-0.29,0.09,0.01,0,40,70,18
1.248,-0.25,-0.59,-0.66,-0.12,0.26,-0.03,-0.11,-0.89,-1.19,-0.26,0.10,0.00,0,40,65,18
1.258,-0.26,-0.55,-0.70,-0.05,0.16,-0.01,-0.08,-0.98,-1.29,-0.19,0.10,0.01,0,40,65,18
1.269,-0.26,-0.47,-0.83,0.00,0.03,0.02,-0.04,-0.95,-1.40,0.03,0.07,0.01,0,42,76,17
1.282,-0.33,-0.36,-0.85,0.04,-0.10,0.04,0.11,-0.62,-1.36,0.10,0.06,0.01,0,44,69,17
1.294,-0.33,-0.33,-0.93,0.13,-0.39,0.11,0.00,-0.53,-1.06,0.09,0.09,0.02,0,47,78,18
1.304,-0.12,-0.27,-0.88,0.14,-0.48,0.15,-0.04,-0.33,-0.67,0.05,0.11,0.01,0,47,86,17
1.316,0.02,-0.40,-0.22,0.13,-0.49,0.18,-0.11,-0.21,-0.48,-0.01,0.13,-0.01,0,47,77,17
1.329,-0.07,-0.32,0.10,0.13,-0.47,0.17,-0.16,-0.15,-0.12,-0.05,0.12,-0.02,0,46,71,16
1.341,0.02,-0.18,0.26,0.17,-0.47,0.14,-0.19,-0.03,0.35,-0.13,0.14,-0.03,0,45,64,17
1.353,0.64,-0.02,0.68,0.32,-0.40,0.10,-0.33,-0.20,0.54,-0.10,0.11,-0.03,0,44,61,16
1.364,0.30,0.42,0.92,0.41,-0.35,0.06,-0.28,0.80,0.83,-0.01,0.07,-0.02,0,44,59,16
1.376,-0.07,1.21,0.85,0.34,-0.35,0.04,-0.17,0.27,0.60,0.06,0.04,-0.01,0,44,60,15
1.388,-0.07,0.57,0.06,0.13,-0.40,0.11,-0.43,0.31,0.35,0.11,-0.01,0.02,0,47,57,15
1.400,0.12,0.25,0.00,0.04,-0.40,0.16,0.03,0.37,0.33,0.13,-0.06,0.06,0,47,55,14
1.411,0.25,0.30,0.09,-0.01,-0.38,0.15,0.06,0.09,0.45,0.20,-0.07,0.07,0,47,56,15
1.421,0.19,0.50,0.14,0.01,-0.33,0.11,0.24,0.76,0.33,0.12,0.00,0.07,0,47,54,16
1.433,0.07,0.55,0.45,-0.16,-0.27,0.17,-0.14,0.00,0.45,-0.08,0.06,0.02,0,47,55,15
1.443,0.21,0.28,0.41,-0.20,-0.26,0.18,0.01,0.19,0.41,-0.14,0.05,0.04,0,48,55,15
1.455,0.28,0.00,0.39,-0.21,-0.25,0.16,0.12,0.08,0.29,-0.14,0.05,0.05,0,49,57,15
1.465,0.30,-0.13,0.42,-0.23,-0.25,0.15,0.10,0.06,0.35,-0.17,0.04,0.06,0,48,56,15
1.476,0.30,-0.09,0.42,-0.19,-0.24,0.15,0.07,-0.15,0.15,-0.21,0.00,0.10,0,48,57,14
1.491,0.20,-0.05,0.28,-0.12,-0.23,0.14,0.05,-0.30,0.03,-0.18,0.01,0.10,0,48,59,16
1.503,0.03,-0.02,0.05,-0.07,-0.25,0.12,0.04,-0.11,-0.21,-0.01,0.01,0.07,0,48,60,16
1.513,-0.05,0.04,-0.08,-0.02,-0.33,0.11,0.07,-0.01,-0.09,0.09,-0.04,0.05,0,49,58,16
1.523,-0.06,0.15,-0.12,-0.03,-0.35,0.12,0.10,0.23,-0.03,0.12,-0.03,0.03,0,49,58,15
1.535,0.17,0.42,-0.14,-0.08,-0.35,0.12,-0.10,0.36,0.18,0.04,-0.00,0.04,0,49,59,17
1.545,0.09,0.39,-0.02,-0.17,-0.31,0.12,0.00,0.35,0.13,-0.01,-0.03,0.03,0,48,59,16
1.555,0.07,0.29,0.04,-0.24,-0.28,0.12,0.03,0.31,0.15,-0.04,-0.02,0.03,0,49,59,17
1.565,0.15,0.05,0.10,-0.28,-0.26,0.11,-0.08,0.17,0.13,-0.07,-0.02,0.02,0,51,61,19
1.577,0.18,-0.09,0.06,-0.29,-0.24,0.11,-0.09,0.06,0.04,-0.10,0.01,0.02,0,51,60,21
1.591,0.16,-0.17,0.04,-0.29,-0.21,0.10,-0.06,-0.08,0.03,-0.14,0.05,0.03,0,53,59,21
1.603,0.14,-0.17,0.05,-0.27,-0.19,0.09,0.01,-0.37,0.19,-0.13,0.07,0.05,0,52,61,21
1.613,0.21,-0.14,0.07,-0.20,-0.17,0.08,-0.09,-0.35,0.18,-0.12,0.05,0.04,0,52,59,20
1.624,0.21,-0.04,0.03,-0.17,-0.17,0.08,-0.16,-0.22,0.08,-0.09,0.00,0.02,0,51,58,19
1.634,0.10,0.11,0.01,-0.16,-0.16,0.08,-0.01,0.09,0.12,-0.03,-0.03,0.01,0,50,60,20
1.644,0.06,0.12,0.06,-0.15,-0.14,0.07,-0.06,0.14,0.12,-0.03,-0.01,0.03,0,49,59,19
1.654,0.06,0.05,0.04,-0.14,-0.13,0.07,-0.03,0.05,0.16,-0.06,0.01,0.03,0,49,58,19
1.666,0.07,0.02,0.02,-0.14,-0.11,0.07,-0.13,-0.17,0.16,-0.09,0.02,0.04,0,48,55,19
1.676,0.11,0.03,0.03,-0.13,-0.08,0.07,-0.11,-0.26,0.17,-0.09,0.00,0.04,0,48,52,19
1.689,0.22,-0.19,0.00,-0.13,-0.06,0.07,-0.06,-0.30,0.10,-0.07,-0.02,0.03,0,48,49,19
1.701,0.29,-0.32,0.01,-0.11,-0.04,0.06,0.01,-0.30,0.09,-0.04,-0.02,0.04,0,47,45,21
1.713,0.30,-0.27,0.02,-0.06,-0.02,0.05,0.00,-0.19,0.11,-0.02,-0.01,0.02,0,46,43,19
1.723,0.18,0.02,0.00,0.03,0.02,0.01,0.05,-0.11,0.02,0.04,-0.03,0.01,0,46,40,18
1.734,0.12,0.16,-0.03,0.04,0.02,-0.00,0.00,0.05,0.11,0.09,-0.03,0.01,0,45,38,19
1.744,0.08,0.18,-0.07,0.04,0.02,-0.01,-0.05,0.09,0.02,0.12,-0.03,-0.00,0,45,36,18
1.755,0.03,0.15,0.00,0.03,0.02,-0.01,-0.02,0.08,0.01,0.12,-0.04,0.00,0,45,34,18
1.765,0.02,0.12,-0.01,0.03,0.02,-0.01,-0.03,0.09,0.00,0.10,-0.04,0.00,0,45,32,17
1.775,0.04,0.07,0.02,0.02,0.02,-0.01,-0.07,-0.02,-0.04,0.09,-0.03,0.00,0,45,31,16
1.785,0.05,0.00,-0.03,0.02,0.02,-0.01,-0.05,-0.18,0.00,0.09,-0.04,0.00,0,46,29,16
1.796,0.12,0.00,-0.04,0.03,0.01,-0.01,-0.02,-0.14,-0.01,0.08,-0.05,0.00,0,45,28,17
1.806,0.12,0.05,-0.01,0.04,0.01,-0.01,-0.04,-0.10,0.06,0.08,-0.05,0.00,0,45,27,17
